Image,Point,Latitude,Longitude,Object Type,Coordinates,Probability,Bounding Box Center,Normalized Bounding Box Center
/content/image.tif,0,36.209461546,36.152872433,non_collapsed,"[23.909339904785156, 87.95037841796875, 101.81745147705078, 148.59400939941406]",0.814360499382019,"[62.86339569091797, 118.2721939086914]","[0.09822405576705932, 0.18480030298233033]"
/content/image.tif,1,36.208325861,36.153735035,collapsed,"[267.8592529296875, 502.86468505859375, 352.1070556640625, 585.2774047851562]",0.7815790772438049,"[309.983154296875, 544.071044921875]","[0.4843486785888672, 0.8501110076904297]"
/content/image.tif,2,36.208897519,36.153386617,non_collapsed,"[172.59658813476562, 296.422607421875, 247.73904418945312, 363.05908203125]",0.7745966911315918,"[210.16781616210938, 329.7408447265625]","[0.3283872127532959, 0.5152200698852539]"
/content/image.tif,3,36.208666703,36.153117762,non_collapsed,"[93.84264373779297, 380.179931640625, 172.44915771484375, 452.3802490234375]",0.7675721645355225,"[133.14590072631836, 416.28009033203125]","[0.20804046988487243, 0.6504376411437989]"
/content/image.tif,4,36.209662241,36.153168510,non_collapsed,"[107.0134048461914, 9.381965637207031, 188.35470581054688, 76.6705551147461]",0.7639687061309814,"[147.68405532836914, 43.02626037597656]","[0.23075633645057678, 0.06722853183746338]"
/content/image.tif,5,36.208309031,36.153344921,collapsed,"[153.92172241210938, 507.59808349609375, 242.52365112304688, 593.1640014648438]",0.7586203217506409,"[198.22268676757812, 550.3810424804688]","[0.3097229480743408, 0.8599703788757325]"
/content/image.tif,6,36.209557649,36.153669753,non_collapsed,"[248.67970275878906, 44.954734802246094, 333.8822021484375, 119.52664947509766]",0.7399534583091736,"[291.2809524536133, 82.24069213867188]","[0.4551264882087708, 0.1285010814666748]"
/content/image.tif,7,36.209727573,36.154613161,non_collapsed,"[519.956298828125, 0.0, 603.144287109375, 37.063232421875]",0.7390662431716919,"[561.55029296875, 18.5316162109375]","[0.8774223327636719, 0.028955650329589844]"
/content/image.tif,8,36.208744538,36.152762030,non_collapsed,"[0.0, 353.341064453125, 62.470054626464844, 420.85455322265625]",0.7376130819320679,"[31.235027313232422, 387.0978088378906]","[0.04880473017692566, 0.6048403263092041]"
/content/image.tif,9,36.208936984,36.153974373,collapsed,"[337.58038330078125, 268.1007080078125, 419.51806640625, 361.78839111328125]",0.7253483533859253,"[378.5492248535156, 314.9445495605469]","[0.5914831638336182, 0.4921008586883545]"
/content/image.tif,10,36.209199141,36.153744818,non_collapsed,"[275.05548095703125, 183.66070556640625, 350.51611328125, 249.64877319335938]",0.7109429836273193,"[312.7857971191406, 216.6547393798828]","[0.4887278079986572, 0.3385230302810669]"
/content/image.tif,11,36.208145427,36.154419719,non_collapsed,"[456.84033203125, 583.4404907226562, 555.4246826171875, 640.0]",0.6428155303001404,"[506.13250732421875, 611.7202453613281]","[0.7908320426940918, 0.9558128833770752]"
/content/image.tif,12,36.208941948,36.154658655,collapsed,"[521.4935302734375, 266.5304260253906, 627.6729736328125, 359.6360778808594]",0.5694676041603088,"[574.583251953125, 313.083251953125]","[0.8977863311767578, 0.4891925811767578]"
/content/image.tif,13,36.209553614,36.154561763,non_collapsed,"[501.40191650390625, 57.55866622924805, 592.2492065429688, 109.94801330566406]",0.563076376914978,"[546.8255615234375, 83.75333976745605]","[0.8544149398803711, 0.13086459338665007]"
/content/image.tif,14,36.208642976,36.153731096,collapsed,"[265.8543701171875, 379.77777099609375, 351.8551025390625, 470.57440185546875]",0.5132198333740234,"[308.854736328125, 425.17608642578125]","[0.4825855255126953, 0.6643376350402832]"
