Image,Point,Latitude,Longitude,Object Type,Coordinates,Confidence Score,Bounding Box Center,Normalized Bounding Box Center
/content/image.tif,0,36.209461282,36.152872430,non_collapsed,"[23.909332275390625, 87.95037841796875, 101.81744384765625, 148.59400939941406]",0.8143603801727295,"[62.86338806152344, 118.2721939086914]","[0.09822404384613037, 0.18480030298233033]"
/content/image.tif,1,36.208325574,36.153734978,collapsed,"[267.8592529296875, 502.86468505859375, 352.1070556640625, 585.2774047851562]",0.7815794944763184,"[309.983154296875, 544.071044921875]","[0.4843486785888672, 0.8501110076904297]"
/content/image.tif,2,36.208897244,36.153386582,non_collapsed,"[172.59658813476562, 296.422607421875, 247.73904418945312, 363.05908203125]",0.7745970487594604,"[210.16781616210938, 329.7408447265625]","[0.3283872127532959, 0.5152200698852539]"
/content/image.tif,3,36.208666423,36.153117744,non_collapsed,"[93.84264373779297, 380.179931640625, 172.44915771484375, 452.3802490234375]",0.7675716876983643,"[133.14590072631836, 416.28009033203125]","[0.20804046988487243, 0.6504376411437989]"
/content/image.tif,4,36.209661981,36.153168488,non_collapsed,"[107.0134048461914, 9.3819580078125, 188.35470581054688, 76.6705551147461]",0.7639683485031128,"[147.68405532836914, 43.0262565612793]","[0.23075633645057678, 0.0672285258769989]"
/content/image.tif,5,36.208308743,36.153344888,collapsed,"[153.92172241210938, 507.59808349609375, 242.52365112304688, 593.1640014648438]",0.7586203217506409,"[198.22268676757812, 550.3810424804688]","[0.3097229480743408, 0.8599703788757325]"
/content/image.tif,6,36.209557386,36.153669699,non_collapsed,"[248.67974853515625, 44.954742431640625, 333.8822021484375, 119.52664184570312]",0.7399534583091736,"[291.2809753417969, 82.24069213867188]","[0.4551265239715576, 0.1285010814666748]"
/content/image.tif,7,36.209727314,36.154613049,non_collapsed,"[519.956298828125, 0.0, 603.144287109375, 37.063228607177734]",0.7390661835670471,"[561.55029296875, 18.531614303588867]","[0.8774223327636719, 0.028955647349357606]"
/content/image.tif,8,36.208744259,36.152762034,non_collapsed,"[0.0, 353.341064453125, 62.470062255859375, 420.85455322265625]",0.7376132011413574,"[31.235031127929688, 387.0978088378906]","[0.048804736137390135, 0.6048403263092041]"
/content/image.tif,9,36.208936709,36.153974301,collapsed,"[337.58038330078125, 268.1007080078125, 419.51806640625, 361.78839111328125]",0.725348174571991,"[378.5492248535156, 314.9445495605469]","[0.5914831638336182, 0.4921008586883545]"
/content/image.tif,10,36.209198872,36.153744760,non_collapsed,"[275.05548095703125, 183.66070556640625, 350.51611328125, 249.64877319335938]",0.7109435796737671,"[312.7857971191406, 216.6547393798828]","[0.4887278079986572, 0.3385230302810669]"
/content/image.tif,11,36.208145137,36.154419618,non_collapsed,"[456.84033203125, 583.4404907226562, 555.4246826171875, 640.0]",0.6428148746490479,"[506.13250732421875, 611.7202453613281]","[0.7908320426940918, 0.9558128833770752]"
/content/image.tif,12,36.208941674,36.154658539,collapsed,"[521.4935302734375, 266.5304260253906, 627.6729736328125, 359.6360778808594]",0.5694676041603088,"[574.583251953125, 313.083251953125]","[0.8977863311767578, 0.4891925811767578]"
/content/image.tif,13,36.209553352,36.154561654,non_collapsed,"[501.4018859863281, 57.55866241455078, 592.249267578125, 109.9480209350586]",0.5630767345428467,"[546.8255767822266, 83.75334167480469]","[0.854414963722229, 0.13086459636688233]"
/content/image.tif,14,36.208642695,36.153731039,collapsed,"[265.8543701171875, 379.77777099609375, 351.8551025390625, 470.57440185546875]",0.513218879699707,"[308.854736328125, 425.17608642578125]","[0.4825855255126953, 0.6643376350402832]"
